stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
"de:08125:1705:5:1","Schwaigern West (Ersatzhalt)","49.13867805","9.04892749","","","","Pde:08125:1705"
"de:08125:1705:5:2","Schwaigern West (Ersatzhalt)","49.13864279","9.04892749","","","","Pde:08125:1705"
"de:08125:1800:1:1","Schwaigern Heilbronner Str. (Ersatz)","49.13881322","9.06673210","","","","Pde:08125:1800"
"de:08125:1801:1:1","Leingarten Allmandstraße (Ersatzhalt)","49.14344998","9.13021604","","","","Pde:08125:1801"
"de:08125:1801:1:2","Leingarten Allmandstraße (Ersatzhalt)","49.14357339","9.13026095","","","","Pde:08125:1801"
"de:08125:1939:1:1","Weinsberg West","49.15126509","9.27459327","","","","Pde:08125:1939"
"de:08125:1939:2:0","Weinsberg West","49.15121809","9.27334461","","","","Pde:08125:1939"
"de:08125:2002:1:1","Bad Wimpfen","49.22955373","9.16790036","","","","Pde:08125:2002"
"de:08125:2002:1:2","Bad Wimpfen","49.22981771","9.16721764","","","","Pde:08125:2002"
"de:08125:2002:30:1","Bad Wimpfen","49.22924281","9.16693917","","","","Pde:08125:2002"
"de:08125:2003:2:2","Ellhofen","49.14991370","9.31557441","","","","Pde:08125:2003"
"de:08125:2003:3:1","Ellhofen","49.14998421","9.31657154","","","","Pde:08125:2003"
"de:08125:2004:1:1","Sülzbach","49.14824496","9.34131114","","","","Pde:08125:2004"
"de:08125:2004:2:2","Sülzbach","49.14854464","9.33987384","","","","Pde:08125:2004"
"de:08125:2004:3:91","Sülzbach (Ersatzhalt)","49.14695812","9.34040385","","","","Pde:08125:2004"
"de:08125:2004:3:92","Sülzbach (Ersatzhalt)","49.14704626","9.34061944","","","","Pde:08125:2004"
"de:08125:2005:1:1","Sülzbach Schule","49.14468991","9.35190228","","","","Pde:08125:2005"
"de:08125:2005:2:2","Sülzbach Schule","49.14518939","9.35054583","","","","Pde:08125:2005"
